"Ticker","Date","Open","High","Low","Close","Volume","TWAP-Open","TWAP-High","TWAP-Low","TWAP-Close","SMA-50","SMA-200","LWMA-15","LWMA-50"
"FB","2015-09-18","93.2","95.19","93.05","94.4","62299984.0","53.83643","54.55955","53.08721","53.81919","92.3398","83.0964","92.015","91.67094"
"FB","2015-09-17","93.37","95.51","92.9","94.34","27841803.0","53.78946","54.51107","53.03952","53.77076","92.1694","83.0017","91.55417","91.58347"
"FB","2015-09-16","92.9","93.6","92.63","93.45","16321193.0","53.74217","54.46209","52.99189","53.72229","91.9956","82.9055","91.04125","91.49153"
"FB","2015-09-15","92.37","93.25","91.79","92.9","18859351.0","53.69533","54.41527","52.94448","53.67477","91.871","82.82675","90.5525","91.42961"
"FB","2015-09-14","92.31","92.62","91.6","92.31","20127871.0","53.64901","54.36876","52.89796","53.62779","91.764","82.75035","90.04242","91.38506"
"FB","2015-09-11","91.68","92.08","91.13","92.05","21185049.0","53.60265","54.3229","52.85155","53.58141","91.6635","82.66695","89.554","91.35971"
"FB","2015-09-10","90.07","92.06","89.63","91.98","26437398.0","53.55694","54.27757","52.8056","53.53523","91.5607","82.57675","89.08567","91.34052"
"FB","2015-09-09","90.78","91.98","90.17","90.44","32551123.0","53.51306","54.23216","52.76134","53.48902","91.4364","82.4856","88.65383","91.3192"
"FB","2015-09-08","89.69","90.24","88.83","89.53","27012543.0","53.46821","54.18673","52.71633","53.44456","91.3436","82.4014","88.45392","91.35464"
"FB","2015-09-04","87.2","88.39","86.7","88.26","27328667.0","53.42457","54.1433","52.67281","53.40108","91.3132","82.3204","88.40442","91.42456"
"FB","2015-09-03","89.76","89.82","87.73","88.15","27048198.0","53.38383","54.10198","52.63177","53.35903","91.3076","82.2508","88.565","91.54408"
"FB","2015-09-02","88.82","89.89","87.63","89.89","27190527.0","53.3399","54.05885","52.58938","53.31701","91.3218","82.18125","88.78333","91.66846"
"FB","2015-09-01","86.99","89.39","86.5","87.23","36097370.0","53.29699","54.01552","52.54701","53.27279","91.2816","82.1062","88.82","91.72304"
"FB","2015-08-31","90.59","91.05","88.89","89.43","32850666.0","53.2562","53.97269","52.5059","53.23168","91.2318","82.0413","89.24242","91.87997"
